name,air_year_quarter,avg_rating,status,laftel_url,cover_url,production,total_episodes
【최애의 아이】,2023년 2분기,4.7,완결,https://laftel.net/item/41389,https://thumbnail.laftel.net/items/thumbs/big/f380a25a-1280-42de-a052-0ea413c87e79.jpg,동화공방,12
(무삭제) 미스터 로봇,2025년 2분기,4.4,완결,https://laftel.net/item/43031,https://thumbnail.laftel.net/items/thumbs/big/1cbc4f71-5eb1-414b-9cc2-c0b5c28e4a14.jpg,,1
무직전생 II ~이세계에 갔으면 최선을 다한다~ part 2,2024년 2분기,4.6,완결,https://laftel.net/item/42087,https://thumbnail.laftel.net/items/thumbs/big/3dc406de-5a4d-4223-b1b9-b47862b1ef60.jpg,스튜디오 바인드,12
트라이건 스탬피드,2023년 1분기,4.7,완결,https://laftel.net/item/41221,https://thumbnail.laftel.net/items/thumbs/big/89e23489-d34a-467c-be42-053fc9a8a83d.jpg,오렌지,12
LAZARUS 라자로,2025년 2분기,4.2,완결,https://laftel.net/item/42769,https://thumbnail.laftel.net/items/thumbs/big/7aead226-aea4-409c-87b4-43789919b6b1.jpg,,13
빅 오더 OVA,2024년,1.5,완결,https://laftel.net/item/42473,https://thumbnail.laftel.net/items/thumbs/big/36335b51-4e7d-43cc-b507-a65fcea56eaf.jpg,,1
(자막) 극장판 명탐정 코난: 에피소드 원 - 작아진 명탐정,2016년 4분기,4.7,완결,https://laftel.net/item/42137,https://thumbnail.laftel.net/items/thumbs/big/65105686-54e2-4b75-a2ce-ca54220e5971.jpg,신에이 동화,1
Vivy -Fluorite Eye’s Song-,2021년 2분기,4.7,완결,https://laftel.net/item/40266,https://thumbnail.laftel.net/items/thumbs/big/a6c6ec4a-c4c2-45d9-b255-bb88e30d6113.jpg,WIT STUDIO,14
(자막) 극장판 스파이 패밀리 코드 : 화이트,2023년 4분기,4.6,완결,https://laftel.net/item/42807,https://thumbnail.laftel.net/items/thumbs/big/ae217ebd-2774-46ef-9784-3bd7b69cab9d.jpg,,1
마법소녀 마도카 마기카 - 판권 부활,2011년 1분기|2022년 3분기,4.8,완결,https://laftel.net/item/40977,https://thumbnail.laftel.net/items/thumbs/big/a8749066-b729-4c30-9bdb-3a137fec8ddc.jpg,샤프트,12
그 비스크 돌은 사랑을 한다 시즌 2,2025년 3분기,4.9,방영중,https://laftel.net/item/42890,https://thumbnail.laftel.net/items/thumbs/big/babb0117-2862-40ef-9a04-495e60073531.jpg,,7
Re : 제로부터 시작하는 이세계 생활 - 빙결의 인연,2019년 4분기,4.6,완결,https://laftel.net/item/39880,https://thumbnail.laftel.net/items/thumbs/big/72e5a5bf-83c3-4a62-b9a5-efe644a452df.jpg,화이트폭스,1
Re : 제로부터 시작하는 이세계 생활 2기 part 1,2020년 3분기,4.7,완결,https://laftel.net/item/39852,https://thumbnail.laftel.net/items/thumbs/big/5f177f77-79c2-43d6-ae35-d63bb44ea81e.jpg,화이트폭스,13
도망을 잘 치는 도련님,2024년 3분기,4.7,완결,https://laftel.net/item/42294,https://thumbnail.laftel.net/items/thumbs/big/1252e78d-6cb4-4ff4-8e84-dcfe8c3e6f15.jpg,CloverWorks,12
어둠의 실력자가 되고 싶어서! 2,2023년 4분기,4.7,완결,https://laftel.net/item/41643,https://thumbnail.laftel.net/items/thumbs/big/f82dd469-0bc4-4091-a768-19b610fdc837.jpg,Nexus,12
터무니없는 스킬로 이세계 방랑 밥,2023년 1분기,4.6,완결,https://laftel.net/item/41218,https://thumbnail.laftel.net/items/thumbs/big/11ff6a50-66e1-41ec-af02-619e1e4ddd3f.jpg,MAPPA,12
이세계 유유자적 농가,2023년 1분기,4.4,완결,https://laftel.net/item/41198,https://thumbnail.laftel.net/items/thumbs/big/377290f1-f40d-415f-8d69-310400135e2b.jpg,Zero-G,12
토모 짱은 여자아이!,2023년 1분기,4.4,완결,https://laftel.net/item/41220,https://thumbnail.laftel.net/items/thumbs/big/70307067-5676-40b8-b9aa-bd78fb048fce.jpg,Lay-duce,13
